arm,file,ratio,offset,hypothesis
genuine,026-06-Oumou-Dioubat-Siyala.flac,1.2270,68,vorbis
genuine,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.4268,898,vorbis
genuine,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.2209,36,vorbis
genuine,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,1.2824,466,kbd
genuine,030-06-S-bastien-Tellier-Benny.flac,1.3537,487,vorbis
genuine,031-07-Shkoon-Just-Emma-Id.flac,1.2515,121,vorbis
genuine,032-05-2kilos-more-Cache-feu.flac,1.3086,529,vorbis
genuine,033-01-Daylight-Rising.flac,1.3448,252,kbd
genuine,034-09-Snow-Ghosts-Bowline.flac,1.3292,367,vorbis
genuine,035-16-Slow-Air-In-Dropped-D.flac,1.2155,753,vorbis
genuine,036-08-Nicolas-Comment-Amaurose.flac,1.2927,807,vorbis
genuine,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,1.3125,867,kbd
genuine,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,1.3373,656,vorbis
genuine,039-13-Kat-Onoma-Change-blues.flac,1.3929,932,vorbis
genuine,040-11-Xploding-Plastix-Far-flung-tonic.flac,1.3497,790,vorbis
genuine,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,1.2575,123,kbd
genuine,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,1.2824,879,vorbis
genuine,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,1.2500,594,kbd
genuine,044-02-Various-Artists-Ka-mea-mea.flac,1.2000,842,kbd
genuine,045-08-DJ-Katapila-Trotro-instrumental.flac,1.2761,173,vorbis
genuine,046-04-Clelia-Felix-Shine-so-bright.flac,1.2892,945,kbd
genuine,047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,1.3252,113,vorbis
genuine,048-08-Gabriel-Romero-La-Piragua.flac,1.4146,751,vorbis
genuine,049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr.flac,1.3580,231,kbd
genuine,050-08-Boubacar-Traor-Pierrette.flac,1.2638,154,vorbis
genuine,051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat.flac,1.3333,461,kbd
genuine,052-06-Papa-Wemba-Efeka-mandundu.flac,1.4048,913,vorbis
genuine,053-03-Jupiter-Okwess-Ofakombolo.flac,1.2270,534,vorbis
genuine,054-10-George-Bruns-Two-dogs-and-a-cycle.flac,1.2118,189,vorbis
genuine,055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi.flac,1.2455,229,kbd
genuine,056-14-Hlamalani.flac,1.1977,452,vorbis
genuine,057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois.flac,1.2593,200,kbd
genuine,058-01-Piny-Runa-Woko.flac,1.2093,879,kbd
genuine,059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,1.2706,319,vorbis
genuine,060-13-Naomi-The-Boys-Bad-loser.flac,1.3837,962,vorbis
genuine,061-07-Black-Truth-Rhythm-Band-Imo.flac,1.3415,121,kbd
genuine,062-03-Alpha-Blondy-Jah-glory.flac,1.3540,155,kbd
genuine,063-09-Rodolphe-Burger-Billy-the-kid.flac,1.3653,490,vorbis
genuine,064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo.flac,1.2381,915,vorbis
genuine,065-05-Quizas-Quizas.flac,1.2791,597,vorbis
genuine,066-04-Etoile-de-Dakar-My-wa-wa.flac,1.3054,55,kbd
genuine,067-03-The-Streets-Let-s-push-things-forward.flac,1.2530,204,vorbis
genuine,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,1.3171,502,kbd
genuine,069-02-Eden-Ahbez-The-wanderer.flac,1.2840,0,vorbis
genuine,070-02-Guts-Good-morning.flac,1.2201,118,vorbis
genuine,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,1.2871,198,vorbis
genuine,072-05-Simo-Moumen-Samsara.flac,1.2000,393,vorbis
genuine,073-10-Vanilla-Fudge-Eleanor-rigby.flac,1.3012,568,vorbis
genuine,074-09-Koki-Nakano-Lift.flac,1.3413,848,vorbis
genuine,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,1.3254,340,kbd
genuine,076-20-Fran-ois-Couperin-O-salutaris.flac,1.3253,165,vorbis
genuine,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,1.2588,44,kbd
genuine,078-04-Kat-Onoma-La-chambre.flac,1.3171,800,kbd
genuine,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,1.2561,459,kbd
opus_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,1.3514,54,kbd
opus_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1.3026,390,kbd
opus_256,002-03-Hraach-Let-it-go.flac,1.2632,550,kbd
opus_256,003-01-Thor-Dari-lullaby.flac,1.2739,646,kbd
opus_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.2468,981,kbd
opus_256,005-17-Los-Seven-Del-Swing-Celoso.flac,1.2617,743,vorbis
opus_256,006-09-Mahmoud-Ahmed-Tezeta.flac,1.2810,945,vorbis
opus_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.3469,6,vorbis
opus_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1.3691,594,kbd
opus_256,009-03-Ilya-Beshevli-To-solitude.flac,1.3038,233,vorbis
opus_256,010-06-Jon-Hassell-These-times.flac,1.4474,89,vorbis
opus_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1.2763,685,vorbis
opus_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.2533,386,kbd
opus_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,1.2338,149,kbd
opus_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,1.3289,577,vorbis
opus_256,015-08-Jos-Gonz-lez-Vissel.flac,1.2267,971,vorbis
opus_256,016-03-Memory-Tapes-Green-knight.flac,1.2763,1011,kbd
opus_256,017-13-Cafe-Del-Mar-Submariner.flac,1.3378,974,kbd
opus_256,018-04-Bag-o-wire-Resovoir.flac,1.1711,260,vorbis
opus_256,019-04-Kohi-Jadu.flac,1.2564,765,kbd
opus_256,020-06-Bola-Tigantabame.flac,1.3595,55,vorbis
opus_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.3475,1,vorbis
opus_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,1.2810,489,vorbis
opus_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.3032,996,kbd
opus_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.2774,414,kbd
opus_256,025-07-Bolalar-Lola.flac,1.3333,545,vorbis
opus_256,026-06-Oumou-Dioubat-Siyala.flac,1.3725,438,kbd
opus_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.4110,1018,vorbis
opus_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.2750,773,kbd
opus_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,1.2102,992,kbd
opus_256,030-06-S-bastien-Tellier-Benny.flac,1.3766,734,kbd
opus_256,031-07-Shkoon-Just-Emma-Id.flac,1.4189,789,vorbis
opus_256,032-05-2kilos-more-Cache-feu.flac,1.2568,596,kbd
opus_256,033-01-Daylight-Rising.flac,1.3072,883,kbd
opus_256,034-09-Snow-Ghosts-Bowline.flac,1.2632,377,kbd
opus_256,035-16-Slow-Air-In-Dropped-D.flac,1.2704,744,kbd
opus_256,036-08-Nicolas-Comment-Amaurose.flac,1.3775,979,kbd
opus_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,1.3758,711,kbd
opus_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,1.3333,330,vorbis
opus_256,039-13-Kat-Onoma-Change-blues.flac,1.4621,743,vorbis
opus_256,040-11-Xploding-Plastix-Far-flung-tonic.flac,1.2645,32,kbd
opus_256,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,1.2267,182,vorbis
opus_256,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,1.3077,340,kbd
opus_256,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,1.2617,446,kbd
opus_256,044-02-Various-Artists-Ka-mea-mea.flac,1.3649,972,vorbis
opus_256,045-08-DJ-Katapila-Trotro-instrumental.flac,1.3289,343,kbd
opus_256,046-04-Clelia-Felix-Shine-so-bright.flac,1.3158,235,vorbis
opus_256,047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,1.3151,591,vorbis
opus_256,048-08-Gabriel-Romero-La-Piragua.flac,1.2667,69,kbd
opus_256,049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr.flac,1.3026,415,vorbis
opus_256,050-08-Boubacar-Traor-Pierrette.flac,1.2895,1006,kbd
opus_256,051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat.flac,1.2179,121,vorbis
opus_256,052-06-Papa-Wemba-Efeka-mandundu.flac,1.2533,843,vorbis
opus_256,053-03-Jupiter-Okwess-Ofakombolo.flac,1.2152,752,vorbis
opus_256,054-10-George-Bruns-Two-dogs-and-a-cycle.flac,1.1818,229,vorbis
opus_256,055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi.flac,1.3200,767,vorbis
opus_256,056-14-Hlamalani.flac,1.3378,874,vorbis
opus_256,057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois.flac,1.4658,842,vorbis
opus_256,058-01-Piny-Runa-Woko.flac,1.2715,143,vorbis
opus_256,059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,1.2549,145,vorbis
opus_256,060-13-Naomi-The-Boys-Bad-loser.flac,1.4805,664,kbd
opus_256,061-07-Black-Truth-Rhythm-Band-Imo.flac,1.2987,659,vorbis
opus_256,062-03-Alpha-Blondy-Jah-glory.flac,1.2583,707,kbd
opus_256,063-09-Rodolphe-Burger-Billy-the-kid.flac,1.3472,459,kbd
opus_256,064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo.flac,1.2468,361,kbd
opus_256,065-05-Quizas-Quizas.flac,1.2857,827,vorbis
opus_256,066-04-Etoile-de-Dakar-My-wa-wa.flac,1.3067,98,vorbis
opus_256,067-03-The-Streets-Let-s-push-things-forward.flac,1.4533,575,vorbis
opus_256,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,1.3423,98,vorbis
opus_256,069-02-Eden-Ahbez-The-wanderer.flac,1.2400,41,kbd
opus_256,070-02-Guts-Good-morning.flac,1.2933,687,kbd
opus_256,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,1.2308,701,kbd
opus_256,072-05-Simo-Moumen-Samsara.flac,1.2791,840,kbd
opus_256,073-10-Vanilla-Fudge-Eleanor-rigby.flac,1.3289,485,vorbis
opus_256,074-09-Koki-Nakano-Lift.flac,1.3032,364,kbd
opus_256,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,1.3419,947,kbd
opus_256,076-20-Fran-ois-Couperin-O-salutaris.flac,1.3973,771,vorbis
opus_256,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,1.4400,107,kbd
opus_256,078-04-Kat-Onoma-La-chambre.flac,1.2987,692,vorbis
opus_256,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,1.2763,820,vorbis
vorbis_q8,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,2.5765,960,vorbis
vorbis_q8,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,2.9405,960,vorbis
vorbis_q8,002-03-Hraach-Let-it-go.flac,2.2353,832,vorbis
vorbis_q8,003-01-Thor-Dari-lullaby.flac,2.6740,192,vorbis
vorbis_q8,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,2.3563,448,vorbis
vorbis_q8,005-17-Los-Seven-Del-Swing-Celoso.flac,1.3988,780,vorbis
vorbis_q8,006-09-Mahmoud-Ahmed-Tezeta.flac,5.7907,832,vorbis
vorbis_q8,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,2.2471,704,vorbis
vorbis_q8,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.8837,960,vorbis
vorbis_q8,009-03-Ilya-Beshevli-To-solitude.flac,2.2919,960,vorbis
vorbis_q8,010-06-Jon-Hassell-These-times.flac,5.2024,448,vorbis
vorbis_q8,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1.3257,320,vorbis
vorbis_q8,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.5783,448,vorbis
vorbis_q8,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,36.4671,704,vorbis
vorbis_q8,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,4.0217,576,vorbis
vorbis_q8,015-08-Jos-Gonz-lez-Vissel.flac,1.8571,704,vorbis
vorbis_q8,016-03-Memory-Tapes-Green-knight.flac,6.9647,704,vorbis
vorbis_q8,017-13-Cafe-Del-Mar-Submariner.flac,5.9558,448,vorbis
vorbis_q8,018-04-Bag-o-wire-Resovoir.flac,6.5509,832,vorbis
vorbis_q8,019-04-Kohi-Jadu.flac,1.3216,238,kbd
vorbis_q8,020-06-Bola-Tigantabame.flac,1.2514,26,kbd
vorbis_q8,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,3.5854,448,vorbis
vorbis_q8,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,12.7529,64,vorbis
vorbis_q8,023-01-Yusef-Lateef-Buddy-and-lou.flac,8.6243,64,vorbis
vorbis_q8,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,4.1257,832,vorbis
vorbis_q8,025-07-Bolalar-Lola.flac,1.2169,386,kbd
vorbis_q8,026-06-Oumou-Dioubat-Siyala.flac,5.5000,832,vorbis
vorbis_q8,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.3376,769,kbd
vorbis_q8,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,7.4886,64,vorbis
vorbis_q8,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,1.8286,320,vorbis
vorbis_q8,030-06-S-bastien-Tellier-Benny.flac,3.1477,704,vorbis
vorbis_q8,031-07-Shkoon-Just-Emma-Id.flac,1.3086,64,kbd
vorbis_q8,032-05-2kilos-more-Cache-feu.flac,8.3543,960,vorbis
vorbis_q8,033-01-Daylight-Rising.flac,5.8315,320,vorbis
vorbis_q8,034-09-Snow-Ghosts-Bowline.flac,9.0000,960,vorbis
vorbis_q8,035-16-Slow-Air-In-Dropped-D.flac,2.6989,960,vorbis
vorbis_q8,036-08-Nicolas-Comment-Amaurose.flac,4.0122,448,vorbis
vorbis_q8,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.5714,576,vorbis
vorbis_q8,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,1.4643,960,vorbis
vorbis_q8,039-13-Kat-Onoma-Change-blues.flac,10.5862,192,vorbis
vorbis_q8,040-11-Xploding-Plastix-Far-flung-tonic.flac,3.5747,704,vorbis
vorbis_q8,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,2.9655,704,vorbis
vorbis_q8,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,6.4111,704,vorbis
vorbis_q8,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,3.2857,960,vorbis
vorbis_q8,044-02-Various-Artists-Ka-mea-mea.flac,3.1954,704,vorbis
vorbis_q8,045-08-DJ-Katapila-Trotro-instrumental.flac,1.3488,411,kbd
vorbis_q8,046-04-Clelia-Felix-Shine-so-bright.flac,3.2235,192,vorbis
vorbis_q8,047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,5.2235,192,vorbis
vorbis_q8,048-08-Gabriel-Romero-La-Piragua.flac,1.2500,520,kbd
vorbis_q8,049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr.flac,3.6867,704,vorbis
vorbis_q8,050-08-Boubacar-Traor-Pierrette.flac,5.6085,832,vorbis
vorbis_q8,051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat.flac,4.5318,320,vorbis
vorbis_q8,052-06-Papa-Wemba-Efeka-mandundu.flac,7.0169,832,vorbis
vorbis_q8,053-03-Jupiter-Okwess-Ofakombolo.flac,2.3614,832,vorbis
vorbis_q8,054-10-George-Bruns-Two-dogs-and-a-cycle.flac,8.3222,576,vorbis
vorbis_q8,055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi.flac,5.6786,960,vorbis
vorbis_q8,056-14-Hlamalani.flac,4.7797,192,vorbis
vorbis_q8,057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois.flac,2.1687,832,vorbis
vorbis_q8,058-01-Piny-Runa-Woko.flac,4.4561,320,vorbis
vorbis_q8,059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,4.7345,192,vorbis
vorbis_q8,060-13-Naomi-The-Boys-Bad-loser.flac,4.9888,704,vorbis
vorbis_q8,061-07-Black-Truth-Rhythm-Band-Imo.flac,5.3708,704,vorbis
vorbis_q8,062-03-Alpha-Blondy-Jah-glory.flac,2.2759,832,vorbis
vorbis_q8,063-09-Rodolphe-Burger-Billy-the-kid.flac,2.3902,192,vorbis
vorbis_q8,064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo.flac,4.0114,832,vorbis
vorbis_q8,065-05-Quizas-Quizas.flac,2.5475,960,vorbis
vorbis_q8,066-04-Etoile-de-Dakar-My-wa-wa.flac,2.7692,192,vorbis
vorbis_q8,067-03-The-Streets-Let-s-push-things-forward.flac,3.8061,960,vorbis
vorbis_q8,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,2.7143,832,vorbis
vorbis_q8,069-02-Eden-Ahbez-The-wanderer.flac,3.6301,960,vorbis
vorbis_q8,070-02-Guts-Good-morning.flac,2.7647,576,vorbis
vorbis_q8,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,2.8085,448,vorbis
vorbis_q8,072-05-Simo-Moumen-Samsara.flac,4.3984,576,vorbis
vorbis_q8,073-10-Vanilla-Fudge-Eleanor-rigby.flac,8.7955,704,vorbis
vorbis_q8,074-09-Koki-Nakano-Lift.flac,6.0229,704,vorbis
vorbis_q8,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,1.8713,704,vorbis
vorbis_q8,076-20-Fran-ois-Couperin-O-salutaris.flac,1.8875,832,vorbis
vorbis_q8,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,6.8304,320,vorbis
vorbis_q8,078-04-Kat-Onoma-La-chambre.flac,4.5176,832,vorbis
vorbis_q8,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,2.0585,64,vorbis
