file,verdict
fd-exchange-v3-setA-r2-0247,AUTHENTIC
fd-exchange-v3-setA-r2-0248,-
fd-exchange-v3-setA-r2-0249,-
fd-exchange-v3-setA-r2-0250,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0251,-
fd-exchange-v3-setA-r2-0252,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0253,-
fd-exchange-v3-setA-r2-0254,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0255,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0256,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0257,-
fd-exchange-v3-setA-r2-0258,AUTHENTIC
fd-exchange-v3-setA-r2-0259,-
fd-exchange-v3-setA-r2-0260,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0261,AUTHENTIC
fd-exchange-v3-setA-r2-0262,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0263,-
fd-exchange-v3-setA-r2-0264,AUTHENTIC
fd-exchange-v3-setA-r2-0265,-
fd-exchange-v3-setA-r2-0266,AUTHENTIC
fd-exchange-v3-setA-r2-0267,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0268,AUTHENTIC
fd-exchange-v3-setA-r2-0269,AUTHENTIC
fd-exchange-v3-setA-r2-0270,-
fd-exchange-v3-setA-r2-0271,-
fd-exchange-v3-setA-r2-0272,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0273,-
fd-exchange-v3-setA-r2-0274,AUTHENTIC
fd-exchange-v3-setA-r2-0275,-
fd-exchange-v3-setA-r2-0276,AUTHENTIC
fd-exchange-v3-setA-r2-0277,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0278,-
fd-exchange-v3-setA-r2-0279,AUTHENTIC
fd-exchange-v3-setA-r2-0280,-
fd-exchange-v3-setA-r2-0281,-
fd-exchange-v3-setA-r2-0282,AUTHENTIC
fd-exchange-v3-setA-r2-0283,AUTHENTIC
fd-exchange-v3-setA-r2-0284,-
fd-exchange-v3-setA-r2-0285,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0286,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0287,AUTHENTIC
fd-exchange-v3-setA-r2-0288,-
